Date ;Price
1982/11/12;0,145
1982/11/15;0,141
1982/11/16;0,134
1982/11/17;0,14
1982/11/18;0,14
1982/11/19;0,138
1982/11/22;0,13
1982/11/23;0,129
1982/11/24;0,132
1982/11/26;0,129
1982/11/29;0,129
1982/11/30;0,142
1982/12/01;0,145
1982/12/02;0,145
1982/12/03;0,142
1982/12/06;0,15
1982/12/07;0,151
1982/12/08;0,148
1982/12/09;0,141
1982/12/10;0,131
1982/12/13;0,128
1982/12/14;0,127
1982/12/15;0,126
1982/12/16;0,128
1982/12/17;0,134
1982/12/20;0,134
1982/12/21;0,135
1982/12/22;0,139
1982/12/23;0,143
1982/12/27;0,146
1982/12/28;0,145
1982/12/29;0,14
1982/12/30;0,134
1982/12/31;0,133
1983/01/03;0,127
1983/01/04;0,134
1983/01/05;0,135
1983/01/06;0,13
1983/01/07;0,123
1983/01/10;0,128
1983/01/11;0,132
1983/01/12;0,137
1983/01/13;0,137
1983/01/14;0,147
1983/01/17;0,152
1983/01/18;0,149
1983/01/19;0,15
1983/01/20;0,167
1983/01/21;0,167
1983/01/24;0,157
1983/01/25;0,164
1983/01/26;0,17
1983/01/27;0,182
1983/01/28;0,183
1983/01/31;0,182
1983/02/01;0,186
1983/02/02;0,191
1983/02/03;0,199
1983/02/04;0,196
1983/02/07;0,189
1983/02/08;0,187
1983/02/09;0,189
1983/02/10;0,201
1983/02/11;0,208
1983/02/14;0,206
1983/02/15;0,203
1983/02/16;0,199
1983/02/17;0,196
1983/02/18;0,203
1983/02/22;0,208
1983/02/23;0,209
1983/02/24;0,215
1983/02/25;0,209
1983/02/28;0,204
1983/03/01;0,207
1983/03/02;0,209
1983/03/03;0,202
1983/03/04;0,199
1983/03/07;0,195
1983/03/08;0,189
1983/03/09;0,195
1983/03/10;0,192
1983/03/11;0,189
1983/03/14;0,185
1983/03/15;0,188
1983/03/16;0,188
1983/03/17;0,189
1983/03/18;0,192
1983/03/21;0,196
1983/03/22;0,199
1983/03/23;0,189
1983/03/24;0,193
1983/03/25;0,193
1983/03/28;0,19
1983/03/29;0,195
1983/03/30;0,198
1983/03/31;0,189
1983/04/04;0,184
1983/04/05;0,18
1983/04/06;0,179
1983/04/07;0,177
1983/04/08;0,176
1983/04/11;0,186
1983/04/12;0,19
1983/04/13;0,196
1983/04/14;0,201
1983/04/15;0,204
1983/04/18;0,21
1983/04/19;0,208
1983/04/20;0,226
1983/04/21;0,232
1983/04/22;0,228
1983/04/25;0,217
1983/04/26;0,223
1983/04/27;0,221
1983/04/28;0,223
1983/04/29;0,225
1983/05/02;0,219
1983/05/03;0,217
1983/05/04;0,23
1983/05/05;0,245
1983/05/06;0,246
1983/05/09;0,243
1983/05/10;0,244
1983/05/11;0,238
1983/05/12;0,236
1983/05/13;0,237
1983/05/16;0,231
1983/05/17;0,232
1983/05/18;0,234
1983/05/19;0,242
1983/05/20;0,254
1983/05/23;0,257
1983/05/24;0,27
1983/05/25;0,268
1983/05/26;0,265
1983/05/27;0,265
1983/05/31;0,258
1983/06/01;0,259
1983/06/02;0,261
1983/06/03;0,274
1983/06/06;0,28
1983/06/07;0,271
1983/06/08;0,267
1983/06/09;0,266
1983/06/10;0,265
1983/06/13;0,256
1983/06/14;0,25
1983/06/15;0,243
1983/06/16;0,256
1983/06/17;0,251
1983/06/20;0,238
1983/06/21;0,24
1983/06/22;0,247
1983/06/23;0,239
1983/06/24;0,238
1983/06/27;0,225
1983/06/28;0,209
1983/06/29;0,219
1983/06/30;0,218
1983/07/01;0,22
1983/07/05;0,211
1983/07/06;0,211
1983/07/07;0,209
1983/07/08;0,206
1983/07/11;0,212
1983/07/12;0,207
1983/07/13;0,206
1983/07/14;0,205
1983/07/15;0,198
1983/07/18;0,198
1983/07/19;0,195
1983/07/20;0,184
1983/07/21;0,194
1983/07/22;0,195
1983/07/25;0,193
1983/07/26;0,175
1983/07/27;0,162
1983/07/28;0,152
1983/07/29;0,156
1983/08/01;0,154
1983/08/02;0,153
1983/08/03;0,156
1983/08/04;0,148
1983/08/05;0,151
1983/08/08;0,152
1983/08/09;0,153
1983/08/10;0,153
1983/08/11;0,151
1983/08/12;0,15
1983/08/15;0,153
