Date ;Price
1977/01/03;1,6275
1977/01/04;1,6042
1977/01/05;1,599
1977/01/06;1,6069
1977/01/07;1,6017
1977/01/10;1,6017
1977/01/11;1,5833
1977/01/12;1,5546
1977/01/13;1,5677
1977/01/14;1,5365
1977/01/17;1,5156
1977/01/18;1,5104
1977/01/19;1,5104
1977/01/20;1,4819
1977/01/21;1,4819
1977/01/24;1,474
1977/01/25;1,4688
1977/01/26;1,4323
1977/01/27;1,375
1977/01/28;1,3931
1977/01/31;1,4115
1977/02/01;1,4583
1977/02/02;1,4504
1977/02/03;1,4427
1977/02/04;1,4427
1977/02/07;1,4323
1977/02/08;1,4167
1977/02/09;1,4063
1977/02/10;1,3958
1977/02/11;1,3569
1977/02/14;1,3775
1977/02/15;1,3879
1977/02/16;1,3983
1977/02/17;1,3775
1977/02/18;1,375
1977/02/22;1,3802
1977/02/23;1,375
1977/02/24;1,3646
1977/02/25;1,3723
1977/02/28;1,3854
1977/03/01;1,4271
1977/03/02;1,4142
1977/03/03;1,4167
1977/03/04;1,435
1977/03/07;1,4713
1977/03/08;1,4688
1977/03/09;1,4454
1977/03/10;1,4635
1977/03/11;1,4713
1977/03/14;1,4869
1977/03/15;1,5
1977/03/16;1,5
1977/03/17;1,5077
1977/03/18;1,4948
1977/03/21;1,5
1977/03/22;1,4896
1977/03/23;1,4635
1977/03/24;1,4583
1977/03/25;1,4375
1977/03/28;1,4298
1977/03/29;1,4375
1977/03/30;1,4063
1977/03/31;1,3958
1977/04/01;1,409
1977/04/04;1,3854
1977/04/05;1,3906
1977/04/06;1,3827
1977/04/07;1,3854
1977/04/11;1,3775
1977/04/12;1,3906
1977/04/13;1,401
1977/04/14;1,4115
1977/04/15;1,4115
1977/04/18;1,4037
1977/04/19;1,3985
1977/04/20;1,4219
1977/04/21;1,3931
1977/04/22;1,3542
1977/04/25;1,3046
1977/04/26;1,3046
1977/04/27;1,3177
1977/04/28;1,3229
1977/04/29;1,315
1977/05/02;1,315
1977/05/03;1,336
1977/05/04;1,3542
1977/05/05;1,3775
1977/05/06;1,3619
1977/05/09;1,3438
1977/05/10;1,3465
1977/05/11;1,3073
1977/05/12;1,3202
1977/05/13;1,3542
1977/05/16;1,3567
1977/05/17;1,3854
1977/05/18;1,4088
1977/05/19;1,4088
1977/05/20;1,3933
1977/05/23;1,3698
1977/05/24;1,3725
1977/05/25;1,349
1977/05/26;1,3619
1977/05/27;1,3517
1977/05/31;1,3542
1977/06/01;1,3619
1977/06/02;1,3646
1977/06/03;1,4035
1977/06/06;1,3775
1977/06/07;1,401
1977/06/08;1,4219
1977/06/09;1,4246
1977/06/10;1,4219
1977/06/13;1,4348
1977/06/14;1,4662
1977/06/15;1,4556
1977/06/16;1,4688
1977/06/17;1,4688
1977/06/20;1,4896
1977/06/21;1,5156
1977/06/22;1,4975
1977/06/23;1,5077
1977/06/24;1,5052
1977/06/27;1,5052
1977/06/28;1,5
1977/06/29;1,4817
1977/06/30;1,4715
1977/07/01;1,4504
1977/07/05;1,4662
1977/07/06;1,4583
1977/07/07;1,4556
1977/07/08;1,4556
1977/07/11;1,4375
1977/07/12;1,4271
1977/07/13;1,4348
1977/07/15;1,4427
1977/07/18;1,4402
1977/07/19;1,4583
1977/07/20;1,4765
1977/07/21;1,4635
1977/07/22;1,4583
1977/07/25;1,4504
1977/07/26;1,4479
1977/07/27;1,4271
1977/07/28;1,4323
1977/07/29;1,4323
1977/08/01;1,4348
1977/08/02;1,4271
1977/08/03;1,4531
1977/08/04;1,4556
1977/08/05;1,4556
1977/08/08;1,4427
1977/08/09;1,4427
1977/08/10;1,4662
1977/08/11;1,4583
1977/08/12;1,474
1977/08/15;1,4583
1977/08/16;1,466
1977/08/17;1,4869
1977/08/18;1,5077
1977/08/19;1,5365
1977/08/22;1,5521
1977/08/23;1,5285
1977/08/24;1,5313
1977/08/25;1,5129
1977/08/26;1,5027
1977/08/29;1,526
1977/08/30;1,4975
1977/08/31;1,5052
1977/09/01;1,5129
1977/09/02;1,5235
1977/09/06;1,5235
1977/09/07;1,5365
1977/09/08;1,5104
1977/09/09;1,4975
1977/09/12;1,4923
1977/09/13;1,4948
1977/09/14;1,5
1977/09/15;1,5104
1977/09/16;1,5104
1977/09/19;1,5052
1977/09/20;1,5208
1977/09/21;1,5027
1977/09/22;1,5027
1977/09/23;1,5027
1977/09/26;1,5235
1977/09/27;1,5129
1977/09/28;1,5208
1977/09/29;1,5338
1977/09/30;1,5313
1977/10/03;1,5392
1977/10/04;1,5417
1977/10/05;1,5208
1977/10/06;1,5208
1977/10/07;1,5156
1977/10/10;1,5077
1977/10/11;1,4948
1977/10/12;1,4923
1977/10/13;1,4896
1977/10/14;1,5027
1977/10/17;1,5104
1977/10/18;1,5156
1977/10/19;1,4792
1977/10/20;1,474
1977/10/21;1,4792
1977/10/24;1,4767
1977/10/25;1,4583
1977/10/26;1,5
1977/10/27;1,526
1977/10/28;1,5365
1977/10/31;1,5285
1977/11/01;1,5077
1977/11/02;1,4792
1977/11/03;1,4558
1977/11/04;1,4635
1977/11/07;1,4923
1977/11/08;1,4844
1977/11/09;1,4948
1977/11/10;1,5417
1977/11/11;1,5392
1977/11/14;1,5313
1977/11/15;1,5442
1977/11/16;1,5365
1977/11/17;1,5208
1977/11/18;1,5129
1977/11/21;1,5181
1977/11/22;1,5365
1977/11/23;1,5417
1977/11/25;1,5417
1977/11/28;1,5417
1977/11/29;1,5129
1977/11/30;1,5417
1977/12/01;1,5652
1977/12/02;1,5625
1977/12/05;1,5442
1977/12/06;1,5156
1977/12/07;1,5208
1977/12/08;1,5129
1977/12/09;1,5208
